pt_index,mean_p_residual_lossless,mean_p_residual_full_y
78294,1.8902373137069264,1.815570227225416
78675,1.886880096974166,1.8620374790117848
78888,1.6961160401308149,1.6915210839139805
79307,1.6301005105187971,1.552169704785448
79314,1.7471677569337514,1.722277446830488
79445,1.8213125956461478,1.72332479216785
79604,1.2715333023577269,1.2574741662737756
79778,1.3754574979538188,1.3571188129693952
79916,1.5907579875164248,1.5757041827192768
79962,1.6099152127345697,1.5289421759533501
80184,1.414236086417595,1.4023662073843792
80400,1.2929983818024398,1.2709616403929114
80908,1.3759872837411136,1.3622181185643611
81012,1.7002563992829403,1.6949962839656494
81394,1.6945605930613488,1.684309674021325
81982,1.980499215659607,1.940203110211592
82109,1.3348077982933602,1.3284394444075207
82147,1.5869972479720214,1.5788128223380835
82534,2.088470951024072,2.047479000724641
83040,2.293255342416256,2.217789793203745
83414,1.7144385029902578,1.7127824041055195
83711,1.7326654489153552,1.7198392353151895
83912,1.318719252332504,1.3023360785255393
83947,1.5172337146915678,1.5077528576733246
84038,1.562442600824735,1.5465363920733415
84123,1.6023998358547138,1.6021903052745956
85052,1.4627038061638131,1.3838394704352075
85096,1.3969433807480756,1.3854870745680492
85099,1.3924606592431776,1.3810043530631513
85156,1.4489589133585485,1.4417779377269457
85700,1.3161619330090684,1.3097970019352132
85764,1.4650182068501354,1.4554373455221195
85840,1.6470347186232681,1.6344063382704532
85896,1.8116998855590865,1.7983683640918884
85921,1.8443682550344476,1.7667994381335133
86228,1.6045574219985201,1.5976521114138904
86501,1.6384524102413793,1.6278087854475594
86578,1.625757069312109,1.6159200054598104
86595,1.738022970589859,1.7236650887596934
86623,1.7683858622481312,1.7610409687851876
86674,1.651544525618766,1.6467628250249013
87104,1.8187021193418693,1.8182101954512278
87514,1.4451032894750053,1.4346909182933243
87724,1.748308072930869,1.7368402740050046
88106,1.3644289358438373,1.348999463834985
88223,1.3967582136529044,1.3816167792045067
88543,1.6562826340007806,1.6465553006716087
89039,1.782795554313806,1.7504873173085027
89203,1.729280264554106,1.7200400161571352
89236,1.3712058045481603,1.2803955578552833
89298,1.5047666784801599,1.4913507014142369
89343,1.262839922072395,1.2489783541972668
89592,1.662762258313064,1.638255527581545
89706,1.7493284897311503,1.7376030183161166
90343,1.7794000519913569,1.7751367208516544
90416,1.786071464184982,1.7726425316224115
90431,1.8077440504591038,1.7028606983397736
90774,1.8918652259065065,1.8890576736304003
90907,1.8311258109396082,1.8277803113478013
90915,1.8348962644940483,1.8315507649022416
90957,1.8570484984741722,1.7806216805521524
90986,1.8390025691263368,1.8317170074803357
91536,1.9867773042872119,1.9809848328675803
91714,1.578399527857638,1.575767400201656
91976,1.9112348374842913,1.9053643989817133
91995,1.9440101676340578,1.9326093400182578
92478,1.6465580925779864,1.633551832291275
92551,1.8233345446716314,1.8105625847253044
92664,1.989518004076363,1.9764587521154073
92940,1.3766201025094333,1.370658660033435
93006,1.3569564315178615,1.3409231664427461
93081,1.492648252205177,1.4918543199185452
93158,1.8261822115303457,1.7441581873393235
93369,1.9964762965080887,1.9878510938586027
93493,1.6601406046597258,1.6192316221720566
93667,1.8482932059051942,1.8408752210895305
93992,1.9778118576245276,1.9554404732827242
94055,1.627381910558835,1.6197694246860752
94150,1.3740580631371175,1.2839122817766662
94230,1.4781850064784308,1.478005419610924
94438,2.042646834606767,2.042109786494231
95346,1.4029805602462857,1.3913323116575684
96354,2.1232162350065384,2.116824343848049
96395,1.9076570769139396,1.8827948412868187
96463,1.838580923602545,1.7979496810205133
96711,1.768885015090556,1.7586631548374394
96944,2.17088419065757,2.1681142985972164
97979,2.433600202466652,2.3668718090777365
98561,2.4997612368681343,2.4217216432604527
98755,2.565186901700077,2.551189726165091
99092,2.0712019500871817,1.9950958194271977
99227,2.5173793244715665,2.4615082027514097
99275,2.5337065906916076,2.5058420742658556
99575,1.8107214232101925,1.8017969867634671
99747,2.1051581724125223,2.032318485376816
